1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-101966443#3_0,-103050320_0,-1198952554#4_0,101757273#0_0,101966494_0,102688631#3_0,103082309_0,1124089273_0,1128043713#2_0,1192799366_1,1288011209_0,52155744#2_0,:10281958931_3_1,:11125046588_3_0,:1177160369_2_0,:1177160779_6_0,:1177161219_2_0,:1177161573_4_0,:1177211543_8_0,:1186025305_6_0,:1190100054_3_0,:1190128257_4_0,:663825934_3_0,:664472699_0_0,:9189383180_1_0,:cluster_10279842289_663943533_10_0,:cluster_10943484228_1190100465_2_0,:cluster_1177211693_1270249881_4_0,:cluster_663943516_664446119_1_0
-101966443#4_0,-103050328_0,-1198952554#5_0,101757273#1_0,101966506#1_0,102688631#4_0,103082310#0_0,1124089273_1,1128043713#2_1,1192800521_0,1288011209_1,52155744#3_0,:10281958932_2_0,:11125046588_4_0,:1177160399_0_0,:1177160807_0_0,:1177161219_3_0,:1177161573_5_0,:1177211571_0_0,:1186025318_0_0,:1190100061_1_0,:1190128257_5_0,:663825934_4_0,:664472699_2_0,:cluster_10279701138_664472033_10_0,:cluster_10279842289_663943533_1_0,:cluster_10943484228_1190100465_4_0,:cluster_1177211693_1270249881_5_0,:cluster_663943516_664446119_2_0
-101966443#5_0,-103050330#0_0,-1198952554#6_0,101757273#2_0,101966508_0,102688631#5_0,103082310#1_0,1124089274_0,1128043713#3_0,1192800521_1,1309211043_0,52155745#1_0,:10281958932_2_1,:11125046588_6_0,:1177160399_1_0,:1177160807_10_0,:1177161371_10_0,:1177161573_8_0,:1177211571_4_0,:1186025330_0_0,:1190100064_1_0,:1190128257_6_0,:663825934_5_0,:664472699_3_0,:cluster_10279701138_664472033_10_1,:cluster_10279842289_663943533_8_0,:cluster_10943484228_1190100465_5_0,:cluster_1177211698_663826189_0_0,:cluster_663943516_664446119_3_0
-101966443#6_0,-103050330#1_0,-1198952554#7_0,101757288_0,101966510#0_0,102690982#0_0,103082310#2_0,1124089274_1,1128043713#3_1,1196271501#0_0,1312946259#0_0,52155745#2_0,:10281965682_0_0,:11125046588_7_0,:1177160399_2_0,:1177160807_1_0,:1177161371_12_0,:1177161573_9_0,:1177211571_5_0,:1186025330_2_0,:1190100064_2_0,:1190128257_8_0,:663842386_0_0,:664472703_0_0,:cluster_10279701138_664472033_1_0,:cluster_10281958922_663940594_0_0,:cluster_11158897098_664472732_0_0,:cluster_1177211698_663826189_10_0,:cluster_664446535_8507351666_0_0
-101966443#7_0,-103050330#2_0,-1198952554#8_0,101757302#0_0,101966510#1_0,102690982#1_0,103082310#3_0,1124089275#0_0,1128043713#4_0,1196271501#1_0,1312946259#1_0,52155750#0_0,:10560867452_0_0,:11125046588_9_0,:1177160403_0_0,:1177160807_3_0,:1177161371_13_0,:1177161612_0_0,:1177211571_6_0,:1186025330_3_0,:1190100093_1_0,:1190128257_9_0,:663842386_2_0,:664472703_10_0,:cluster_10279701138_664472033_3_0,:cluster_10281958922_663940594_10_0,:cluster_11158897098_664472732_2_0,:cluster_1177211698_663826189_12_0,:cluster_664446535_8507351666_1_0
-101966443#8_0,-103050330#3_0,-1198952554#9_0,101757302#1_0,101966510#2_0,102690982#2_0,103082312_0,1124089275#0_1,1128043713#4_1,1196271501#2_0,1312946260_0,52155750#1_0,:10560867452_1_0,:1126633510#0-AddedOnRampNode_0_0,:1177160403_1_0,:1177160807_4_0,:1177161371_1_0,:1177161612_10_0,:1177211571_7_0,:1186025344_0_0,:1190100093_2_0,:1190128270_1_0,:663943275_4_0,:664472703_13_0,:cluster_10279701138_664472033_4_0,:cluster_10281958922_663940594_1_0,:cluster_11158897098_664472732_3_0,:cluster_1177211698_663826189_13_0,:cluster_664446535_8507351666_3_0
-101966443#9_0,-103050330#4_0,-1198952555#0_0,101757312#0_0,101966510#3_0,102690982#3_0,103082313_0,1124089275#1_0,1128043714#0_0,1196271504_0,135461188#0_0,52155750#2_0,:10560867456_0_0,:11282915069_1_0,:1177160471_0_0,:1177160807_6_0,:1177161371_4_0,:1177161612_4_0,:1177211573_0_0,:1186025344_10_0,:1190100120_0_0,:1190128270_2_0,:663943276_0_0,:664472703_18_0,:cluster_10279701138_664472033_4_1,:cluster_10281958922_663940594_3_0,:cluster_11158897098_664472732_3_1,:cluster_1177211698_663826189_14_0,:cluster_664446535_8507351666_4_0
-101966453#0_0,-103050337_0,-1198952555#1_0,101757312#1_0,101966510#4_0,102690982#4_0,103082314#0_0,1124089275#1_1,1128043714#1_0,1196283316_0,135461188#1_0,52155752#0_0,:10907705738_1_0,:11282915069_2_0,:1177160471_10_0,:1177160807_7_0,:1177161371_5_0,:1177161612_6_0,:1177211573_6_0,:1186025344_12_0,:1190100135_0_0,:1190128277_1_0,:663943276_1_0,:664472703_1_0,:cluster_10279701138_664472033_9_0,:cluster_10281958922_663940594_3_1,:cluster_11158897098_664472732_5_0,:cluster_1177211698_663826189_18_0,:cluster_664472704_664472708_0_0
-101966453#1_0,-103079292_0,-1198952555#2_0,101757321_0,101972892#0_0,102690983#0_0,103082314#1_0,1124089275#2_0,1128043714#2_0,1198952554#0_0,135461188#2_0,52155752#1_0,:10907806554_0_0,:1174832475_0_0,:1177160471_4_0,:1177160866_0_0,:1177161371_9_0,:1177161612_7_0,:1177211687_4_0,:1186025344_14_0,:1190100139_0_0,:1190128277_6_0,:663943276_2_0,:664472703_4_0,:cluster_10279701141_1177160864_664472702_0_0,:cluster_10281958922_663940594_5_0,:cluster_11158897098_664472732_6_0,:cluster_1177211698_663826189_1_0,:cluster_664472704_664472708_16_0
-101966453#2_0,-103082294_0,-1198952555#3_0,101966385#0_0,101972892#1_0,102690983#1_0,103082314#2_0,1124089275#2_1,1130603776#0_0,1198952554#10_0,135461188#3_0,562694503#0_0,:10907806554_10_0,:1174832475_2_0,:1177160471_6_0,:1177160866_1_0,:1177161408_3_0,:1177161631_0_0,:1177211699_0_0,:1186025344_18_0,:1190100182_4_0,:1190128277_8_0,:663943487_0_0,:664472703_5_0,:cluster_10279701141_1177160864_664472702_11_0,:cluster_10281958922_663940594_7_0,:cluster_11158897098_664472732_8_0,:cluster_1177211698_663826189_4_0,:cluster_664472704_664472708_1_0
