Timestep,Traffic_Light_ID,State,Phase_Duration,Traffic_Light_1_2,Traffic_Light_3_4,Zebra_Crossing_Light
60,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
60,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
61,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
61,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
62,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
62,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
63,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
63,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
64,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
64,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
65,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
65,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
66,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
66,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
67,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
67,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
68,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
68,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
69,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
69,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
70,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
70,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
71,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
71,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
72,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
72,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
73,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
73,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
74,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
74,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
75,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
75,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
76,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
76,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
77,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
77,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
78,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
78,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
79,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
79,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
80,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
80,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
81,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
81,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
82,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
82,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
83,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
83,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
84,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
84,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
85,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
85,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
86,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
86,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
87,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
87,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
88,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
88,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
89,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
89,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
90,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
