Vehicle_ID,Depart_Time,Arrival_Time,Duration,Waiting_Time,Time_Loss,Distance_Traveled
veh22.2,195.0,359.0,164.0,17.0,59.65,1491.36
veh15.8,187.0,362.0,175.0,48.0,111.21,998.3
veh28.2,252.0,362.0,110.0,19.0,41.65,1035.6
veh29.8,262.0,362.0,100.0,1.0,44.98,846.87
veh30.4,275.0,363.0,88.0,0.0,18.18,1047.8
veh30.5,278.0,365.0,87.0,0.0,36.11,1047.8
veh30.6,281.0,368.0,87.0,0.0,24.33,1047.8
veh29.9,263.0,369.0,106.0,0.0,44.72,846.87
veh28.4,262.0,370.0,108.0,8.0,45.76,1035.6
veh28.5,266.0,371.0,105.0,6.0,59.21,1035.6
veh30.7,284.0,371.0,87.0,0.0,24.07,1047.8
veh36,315.0,372.0,57.0,0.0,12.45,515.72
veh28.6,269.0,373.0,104.0,7.0,45.02,1035.6
veh30.8,287.0,374.0,87.0,0.0,24.96,1047.8
veh30.9,290.0,376.0,86.0,0.0,30.13,1047.8
veh28.9,288.0,377.0,89.0,0.0,36.4,1035.6
veh28.3,255.0,378.0,123.0,17.0,38.84,1035.6
veh36.1,318.0,378.0,60.0,0.0,12.24,515.72
veh28.7,272.0,380.0,108.0,6.0,36.08,1035.6
veh36.2,321.0,380.0,59.0,0.0,20.51,515.72
veh15.9,191.0,384.0,193.0,72.0,130.99,998.3
veh6.1,60.0,387.0,327.0,190.0,262.29,1076.27
veh28.8,284.0,387.0,103.0,0.0,24.18,1035.6
veh36.3,324.0,387.0,63.0,0.0,12.98,515.72
veh22.4,198.0,388.0,190.0,27.0,89.21,1491.36
veh9.8,270.0,389.0,119.0,31.0,76.43,569.97
veh11.4,109.0,389.0,280.0,76.0,161.25,1924.38
veh36.4,327.0,389.0,62.0,0.0,23.44,515.72
veh9.9,274.0,391.0,117.0,30.0,71.64,569.97
veh11.5,112.0,392.0,280.0,66.0,165.32,1924.38
veh36.5,330.0,392.0,62.0,0.0,17.94,515.72
veh11.6,115.0,395.0,280.0,66.0,160.7,1924.38
veh36.6,333.0,395.0,62.0,0.0,15.55,515.72
veh22.3,196.0,397.0,201.0,32.0,75.94,1491.36
veh27,237.0,397.0,160.0,0.0,28.64,1616.69
veh22.6,202.0,398.0,196.0,29.0,97.68,1491.36
veh36.7,336.0,398.0,62.0,0.0,23.4,515.72
veh11.7,118.0,399.0,281.0,78.0,164.04,1924.38
veh27.1,238.0,400.0,162.0,0.0,33.0,1616.69
veh11.8,121.0,401.0,280.0,73.0,162.19,1924.38
veh32,280.0,401.0,121.0,1.0,33.25,1616.55
veh36.8,339.0,401.0,62.0,0.0,21.27,515.72
veh22.5,200.0,402.0,202.0,25.0,82.27,1491.36
veh27.2,239.0,403.0,164.0,0.0,39.08,1616.69
veh22.8,207.0,404.0,197.0,19.0,86.32,1491.36
veh32.1,281.0,404.0,123.0,0.0,38.21,1616.55
veh27.3,241.0,405.0,164.0,0.0,38.23,1616.69
veh33,289.0,405.0,116.0,0.0,21.05,1649.09
veh32.2,282.0,407.0,125.0,0.0,34.68,1616.55
veh33.1,292.0,407.0,115.0,0.0,24.62,1649.09
veh36.9,342.0,407.0,65.0,0.0,12.41,515.72
veh22.7,204.0,408.0,204.0,23.0,77.51,1491.36
veh27.4,243.0,408.0,165.0,0.0,34.01,1616.69
veh11.9,124.0,409.0,285.0,73.0,150.85,1924.38
veh22.9,210.0,411.0,201.0,17.0,81.7,1491.36
veh27.5,245.0,411.0,166.0,0.0,42.76,1616.69
veh27.6,247.0,412.0,165.0,0.0,53.81,1616.69
veh33.2,295.0,412.0,117.0,0.0,21.1,1649.09
veh32.3,283.0,414.0,131.0,0.0,32.37,1616.55
veh27.7,249.0,415.0,166.0,0.0,52.29,1616.69
veh32.4,285.0,416.0,131.0,0.0,45.03,1616.55
veh33.3,298.0,417.0,119.0,0.0,21.71,1649.09
veh33.4,301.0,419.0,118.0,0.0,28.46,1649.09
veh27.8,253.0,422.0,169.0,0.0,32.96,1616.69
veh33.5,304.0,423.0,119.0,0.0,23.66,1649.09
veh33.6,307.0,426.0,119.0,0.0,25.11,1649.09
veh33.7,310.0,429.0,119.0,0.0,27.85,1649.09
veh26,228.0,434.0,206.0,108.0,152.5,667.76
veh26.1,231.0,436.0,205.0,104.0,159.98,667.76
veh44,385.0,436.0,51.0,0.0,10.03,560.52
veh33.8,313.0,439.0,126.0,0.0,22.47,1649.09
veh34,298.0,439.0,141.0,0.0,48.08,2074.82
veh33.9,316.0,441.0,125.0,0.0,38.75,1649.09
veh35,307.0,441.0,134.0,10.0,45.8,1480.53
veh34.1,301.0,443.0,142.0,0.0,44.62,2074.82
veh26.2,234.0,444.0,210.0,99.0,152.91,667.76
veh34.2,304.0,445.0,141.0,0.0,54.79,2074.82
veh35.1,310.0,445.0,135.0,6.0,42.31,1480.53
veh26.3,237.0,447.0,210.0,93.0,155.32,667.76
veh34.3,307.0,447.0,140.0,0.0,50.44,2074.82
veh35.2,313.0,447.0,134.0,5.0,51.93,1480.53
veh44.1,389.0,448.0,59.0,0.0,10.08,560.52
veh35.3,316.0,449.0,133.0,3.0,56.24,1480.53
veh27.9,255.0,450.0,195.0,11.0,49.8,1616.69
veh44.2,394.0,450.0,56.0,0.0,16.78,560.52
veh34.4,310.0,451.0,141.0,0.0,49.01,2074.82
veh35.4,319.0,452.0,133.0,0.0,50.9,1480.53
veh26.4,240.0,453.0,213.0,92.0,164.02,667.76
veh44.3,398.0,453.0,55.0,0.0,18.42,560.52
veh31,272.0,455.0,183.0,6.0,46.17,1393.26
veh35.5,322.0,455.0,133.0,0.0,52.4,1480.53
veh35.6,325.0,457.0,132.0,0.0,55.8,1480.53
veh44.4,403.0,457.0,54.0,0.0,19.17,560.52
veh41,359.0,458.0,99.0,0.0,17.65,1087.69
veh41.1,364.0,459.0,95.0,0.0,34.92,1087.69
veh31.1,275.0,460.0,185.0,4.0,58.59,1393.26
veh34.5,313.0,460.0,147.0,0.0,40.66,2074.82
veh35.7,328.0,461.0,133.0,0.0,48.42,1480.53
veh39,342.0,461.0,119.0,2.0,52.15,1057.72
veh41.2,369.0,461.0,92.0,0.0,29.58,1087.69
veh34.6,316.0,462.0,146.0,0.0,58.01,2074.82
veh35.8,331.0,463.0,132.0,0.0,52.22,1480.53
veh41.3,374.0,463.0,89.0,0.0,24.16,1087.69
veh44.5,407.0,463.0,56.0,1.0,20.23,560.52
veh35.9,334.0,465.0,131.0,0.0,56.41,1480.53
veh34.7,319.0,466.0,147.0,1.0,54.53,2074.82
veh34.8,322.0,469.0,147.0,0.0,56.42,2074.82
veh41.4,379.0,469.0,90.0,0.0,20.53,1087.69
veh44.6,410.0,471.0,61.0,0.0,17.31,560.52
veh6.2,65.0,473.0,408.0,246.0,331.27,1076.27
veh44.7,413.0,473.0,60.0,1.0,21.88,560.52
veh23,202.0,474.0,272.0,90.0,141.08,2224.48
veh38,333.0,476.0,143.0,0.0,19.86,1558.3
veh38.1,334.0,478.0,144.0,0.0,28.27,1558.3
veh44.8,416.0,480.0,64.0,0.0,21.89,560.52
veh41.5,385.0,481.0,96.0,0.0,20.13,1087.69
veh23.1,214.0,482.0,268.0,81.0,145.61,2224.48
veh41.6,391.0,483.0,92.0,0.0,34.11,1087.69
veh44.9,421.0,484.0,63.0,0.0,25.06,560.52
veh23.2,219.0,485.0,266.0,75.0,139.75,2224.48
veh32.5,287.0,486.0,199.0,65.0,102.25,1616.55
veh23.3,227.0,488.0,261.0,66.0,129.14,2224.48
veh47,412.0,488.0,76.0,0.0,20.71,796.17
veh31.2,278.0,490.0,212.0,0.0,41.18,1393.26
veh23.4,234.0,491.0,257.0,62.0,121.84,2224.48
veh41.7,396.0,491.0,95.0,0.0,20.39,1087.69
veh47.1,415.0,491.0,76.0,0.0,27.43,796.17
veh34.9,325.0,493.0,168.0,0.0,48.77,2074.82
veh41.8,401.0,493.0,92.0,0.0,27.19,1087.69
veh31.3,281.0,494.0,213.0,0.0,87.99,1393.26
veh32.6,289.0,494.0,205.0,65.0,106.9,1616.55
veh41.9,407.0,494.0,87.0,0.0,25.09,1087.69
veh42,368.0,494.0,126.0,53.0,66.36,987.53
veh23.5,237.0,495.0,258.0,60.0,120.97,2235.72
veh32.7,292.0,495.0,203.0,63.0,120.03,1616.55
veh42.1,369.0,496.0,127.0,52.0,73.19,987.53
veh53,464.0,496.0,32.0,0.0,5.9,316.97
veh37,405.0,498.0,93.0,42.0,57.98,463.84
veh32.8,295.0,499.0,204.0,64.0,114.34,1616.55
veh31.4,287.0,500.0,213.0,0.0,80.58,1393.26
veh42.2,370.0,500.0,130.0,49.0,79.43,987.53
veh23.6,240.0,502.0,262.0,58.0,121.54,2235.72
veh42.3,371.0,502.0,131.0,50.0,78.68,987.53
veh47.2,418.0,502.0,84.0,0.0,20.87,796.17
veh53.1,469.0,502.0,33.0,0.0,7.41,316.97
veh32.9,298.0,503.0,205.0,62.0,102.02,1616.55
veh53.2,474.0,503.0,29.0,0.0,7.71,316.97
veh47.3,421.0,505.0,84.0,0.0,21.77,796.17
veh31.5,290.0,506.0,216.0,1.0,70.16,1393.26
veh53.3,477.0,506.0,29.0,0.0,5.13,316.97
veh37.1,416.0,508.0,92.0,39.0,55.4,463.84
veh47.4,424.0,508.0,84.0,0.0,24.23,796.17
veh42.4,372.0,509.0,137.0,49.0,76.85,987.53
veh31.6,293.0,510.0,217.0,8.0,100.07,1393.26
veh47.5,427.0,510.0,83.0,0.0,31.97,796.17
veh53.4,483.0,512.0,29.0,0.0,5.09,316.97
veh39.1,345.0,513.0,168.0,46.0,79.23,1057.72
veh31.7,296.0,514.0,218.0,29.0,108.64,1393.26
veh39.2,350.0,515.0,165.0,46.0,84.96,1057.72
veh37.2,470.0,517.0,47.0,0.0,11.64,463.84
veh39.3,356.0,517.0,161.0,44.0,89.44,1057.72
veh47.6,430.0,518.0,88.0,0.0,19.04,796.17
veh39.4,361.0,519.0,158.0,43.0,86.24,1057.72
veh37.4,478.0,520.0,42.0,0.0,9.79,463.84
veh38.2,335.0,520.0,185.0,34.0,62.86,1558.3
veh47.7,433.0,520.0,87.0,0.0,33.35,796.17
veh31.8,299.0,521.0,222.0,28.0,87.78,1393.26
veh37.3,474.0,521.0,47.0,0.0,9.91,463.84
veh42.5,373.0,521.0,148.0,56.0,94.55,987.53
veh38.3,337.0,523.0,186.0,33.0,71.22,1558.3
veh39.5,367.0,523.0,156.0,41.0,76.05,1057.72
veh47.8,436.0,524.0,88.0,0.0,31.6,796.17
veh39.6,372.0,525.0,153.0,40.0,83.11,1057.72
veh31.9,302.0,526.0,224.0,27.0,89.89,1393.26
veh38.4,339.0,526.0,187.0,29.0,62.54,1558.3
veh37.6,486.0,527.0,41.0,0.0,9.99,463.84
veh53.5,486.0,527.0,41.0,0.0,6.7,316.97
veh38.5,341.0,529.0,188.0,27.0,62.46,1558.3
veh47.9,441.0,529.0,88.0,0.0,20.6,796.17
veh53.6,494.0,529.0,35.0,0.0,11.71,316.97
veh38.6,342.0,531.0,189.0,26.0,79.44,1558.3
veh39.7,377.0,532.0,155.0,41.0,76.95,1057.72
veh53.7,497.0,532.0,35.0,0.0,12.89,316.97
